
[2013-05-18 07:26:02.685599] [SMELL] Object does not fit within bounds. (pos=(-47, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.693667] [SMELL] Object does not fit within bounds. (pos=(-48, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.701984] [SMELL] Object does not fit within bounds. (pos=(-49, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.709947] [SMELL] Object does not fit within bounds. (pos=(-50, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.716732] [SMELL] Object does not fit within bounds. (pos=(-51, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.726104] [SMELL] Object does not fit within bounds. (pos=(-52, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.733636] [SMELL] Object does not fit within bounds. (pos=(-53, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.740760] [SMELL] Object does not fit within bounds. (pos=(-54, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.747776] [SMELL] Object does not fit within bounds. (pos=(-55, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.754340] [SMELL] Object does not fit within bounds. (pos=(-56, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.761603] [SMELL] Object does not fit within bounds. (pos=(-57, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.768495] [SMELL] Object does not fit within bounds. (pos=(-58, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.775439] [SMELL] Object does not fit within bounds. (pos=(-59, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.782227] [SMELL] Object does not fit within bounds. (pos=(-60, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.790806] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.798447] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.805624] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
